the,9948,6.7299%
and,4429,2.99625%
to,3376,2.28389%
a,3058,2.06876%
of,3024,2.04576%
in,2534,1.71427%
was,1839,1.2441%
his,1763,1.19268%
that,1646,1.11353%
s,1584,1.07159%
with,1562,1.0567%
it,1451,0.981613%
I,1407,0.951846%
on,1404,0.949817%
he,1364,0.922756%
you,1192,0.806397%
The,1047,0.708303%
at,941,0.636594%
had,851,0.575708%
from,834,0.564207%
not,815,0.551354%
for,754,0.510087%
her,683,0.462055%
him,682,0.461378%
out,637,0.430935%
as,631,0.426876%
Margarita,615,0.416052%
And,591,0.399816%
one,589,0.398463%
but,577,0.390345%
no,565,0.382227%
is,564,0.38155%
this,564,0.38155%
be,560,0.378844%
by,545,0.368697%
up,536,0.362608%
said,499,0.337577%
all,497,0.336224%
me,483,0.326753%
there,476,0.322018%
t,451,0.305105%
into,411,0.278045%
man,406,0.274662%
some,403,0.272633%
she,379,0.256396%
He,373,0.252337%
were,372,0.251661%
Ivan,361,0.244219%
so,352,0.238131%
who,352,0.238131%
an,347,0.234748%
what,340,0.230013%
But,326,0.220541%
eyes,326,0.220541%
have,307,0.207688%
down,299,0.202276%
about,291,0.196864%
then,289,0.195511%
did,283,0.191452%
began,280,0.189422%
It,279,0.188746%
over,276,0.186716%
my,270,0.182657%
them,269,0.181981%
which,269,0.181981%
Woland,266,0.179951%
now,265,0.179275%
been,262,0.177245%
came,254,0.171833%
head,254,0.171833%
would,254,0.171833%
they,246,0.166421%
time,245,0.165744%
asked,244,0.165068%
himself,244,0.165068%
little,239,0.161685%
your,238,0.161009%
cat,234,0.158303%
Koroviev,231,0.156273%
replied,231,0.156273%
A,228,0.154244%
back,228,0.154244%
if,224,0.151538%
procurator,223,0.150861%
here,219,0.148155%
under,219,0.148155%
will,218,0.147479%
only,216,0.146126%
very,214,0.144773%
went,211,0.142743%
off,210,0.142067%
You,208,0.140714%
same,208,0.140714%
where,208,0.140714%
are,206,0.139361%
could,204,0.138008%
or,203,0.137331%
like,202,0.136655%
master,200,0.135302%
two,200,0.135302%
What,197,0.133272%
Pilate,196,0.132595%
do,193,0.130566%
face,185,0.125154%
voice,184,0.124477%
any,181,0.122448%
more,181,0.122448%
don,176,0.119065%
black,175,0.118389%
ll,172,0.116359%
their,172,0.116359%
away,169,0.11433%
even,169,0.11433%
something,169,0.11433%
turned,168,0.113653%
Here,166,0.1123%
Ivanovich,166,0.1123%
come,165,0.111624%
first,165,0.111624%
hand,164,0.110947%
other,163,0.110271%
m,159,0.107565%
before,158,0.106888%
once,157,0.106212%
room,156,0.105535%
after,155,0.104859%
got,154,0.104182%
how,153,0.103506%
Azazello,152,0.102829%
just,152,0.102829%
thought,151,0.102153%
when,150,0.101476%
go,147,0.0994466%
has,147,0.0994466%
can,146,0.0987701%
right,145,0.0980936%
Berlioz,144,0.0974171%
its,143,0.0967406%
cried,142,0.0960641%
know,142,0.0960641%
No,141,0.0953876%
through,141,0.0953876%
apartment,140,0.0947111%
left,140,0.0947111%
In,136,0.092005%
re,136,0.092005%
see,136,0.092005%
again,135,0.0913285%
around,134,0.090652%
woman,133,0.0899755%
Nikanor,132,0.089299%
thing,132,0.089299%
well,132,0.089299%
saw,131,0.0886225%
already,130,0.087946%
There,129,0.0872695%
door,129,0.0872695%
Yes,127,0.0859165%
Well,125,0.0845634%
without,125,0.0845634%
took,124,0.0838869%
we,123,0.0832104%
made,122,0.0825339%
nothing,122,0.0825339%
put,121,0.0818574%
house,120,0.0811809%
long,120,0.0811809%
place,119,0.0805044%
Moscow,118,0.0798279%
way,115,0.0777984%
white,115,0.0777984%
window,115,0.0777984%
front,114,0.0771219%
suddenly,114,0.0771219%
guest,113,0.0764454%
hands,113,0.0764454%
say,113,0.0764454%
Styopa,112,0.0757689%
also,112,0.0757689%
second,112,0.0757689%
Rimsky,111,0.0750923%
Then,111,0.0750923%
course,109,0.0737393%
floor,108,0.0730628%
light,108,0.0730628%
going,107,0.0723863%
never,107,0.0723863%
people,107,0.0723863%
Ah,105,0.0710333%
city,104,0.0703568%
Varenukha,103,0.0696803%
behind,103,0.0696803%
reason,101,0.0683273%
looked,100,0.0676508%
She,99,0.0669743%
This,99,0.0669743%
take,98,0.0662977%
whispered,98,0.0662977%
good,96,0.0649447%
get,95,0.0642682%
having,95,0.0642682%
sat,95,0.0642682%
such,95,0.0642682%
ve,95,0.0642682%
stood,94,0.0635917%
these,94,0.0635917%
everything,93,0.0629152%
table,93,0.0629152%
flew,92,0.0622387%
must,92,0.0622387%
Behemoth,91,0.0615622%
That,90,0.0608857%
fell,89,0.0602092%
tell,89,0.0602092%
words,89,0.0602092%
last,88,0.0595327%
than,88,0.0595327%
whole,88,0.0595327%
became,87,0.0588562%
heard,87,0.0588562%
moment,86,0.0581797%
three,86,0.0581797%
night,85,0.0575031%
anything,84,0.0568266%
much,84,0.0568266%
dark,83,0.0561501%
ran,83,0.0561501%
sitting,82,0.0554736%
towards,82,0.0554736%
air,81,0.0547971%
barman,81,0.0547971%
moon,80,0.0541206%
opened,80,0.0541206%
They,79,0.0534441%
evening,79,0.0534441%
looking,79,0.0534441%
too,79,0.0534441%
Nikolaevich,78,0.0527676%
because,78,0.0527676%
poet,78,0.0527676%
while,78,0.0527676%
So,77,0.0520911%
money,77,0.0520911%
most,77,0.0520911%
quite,77,0.0520911%
Levi,76,0.0514146%
appeared,76,0.0514146%
still,76,0.0514146%
At,75,0.0507381%
am,75,0.0507381%
day,75,0.0507381%
garden,75,0.0507381%
found,73,0.0493851%
great,73,0.0493851%
let,73,0.0493851%
longer,73,0.0493851%
look,73,0.0493851%
old,73,0.0493851%
fire,72,0.0487085%
gave,72,0.0487085%
professor,72,0.0487085%
seen,72,0.0487085%
those,72,0.0487085%
answered,71,0.048032%
being,71,0.048032%
exclaimed,71,0.048032%
glass,71,0.048032%
life,71,0.048032%
someone,71,0.048032%
understand,71,0.048032%
word,70,0.0473555%
office,69,0.046679%
devil,68,0.0460025%
later,68,0.0460025%
own,68,0.0460025%
Judas,67,0.045326%
seemed,67,0.045326%
things,67,0.045326%
water,67,0.045326%
name,66,0.0446495%
Messire,65,0.043973%
Yershalaim,65,0.043973%
shouted,65,0.043973%
why,65,0.043973%
added,64,0.0432965%
covered,64,0.0432965%
disappeared,64,0.0432965%
Nikolaevna,63,0.04262%
another,63,0.04262%
findirector,63,0.04262%
knew,63,0.04262%
After,62,0.0419435%
herself,62,0.0419435%
sort,62,0.0419435%
started,62,0.0419435%
want,62,0.0419435%
hall,61,0.041267%
happened,61,0.041267%
high,61,0.041267%
won,61,0.041267%
yes,61,0.041267%
As,60,0.0405905%
How,60,0.0405905%
Oh,60,0.0405905%
Variety,60,0.0405905%
citizen,60,0.0405905%
next,60,0.0405905%
soon,60,0.0405905%
struck,60,0.0405905%
else,59,0.0399139%
foreigner,59,0.0399139%
sun,59,0.0399139%
Yeshua,58,0.0392374%
bed,58,0.0392374%
heart,58,0.0392374%
knows,58,0.0392374%
us,58,0.0392374%
wife,58,0.0392374%
Having,57,0.0385609%
balcony,57,0.0385609%
lay,57,0.0385609%
morning,57,0.0385609%
called,56,0.0378844%
coming,56,0.0378844%
hear,56,0.0378844%
side,56,0.0378844%
somewhere,56,0.0378844%
Why,55,0.0372079%
feet,55,0.0372079%
make,55,0.0372079%
open,55,0.0372079%
question,55,0.0372079%
Annushka,54,0.0365314%
both,54,0.0365314%
car,54,0.0365314%
case,54,0.0365314%
precisely,54,0.0365314%
short,54,0.0365314%
Now,53,0.0358549%
ask,53,0.0358549%
gone,53,0.0358549%
quietly,53,0.0358549%
windows,53,0.0358549%
Natasha,52,0.0351784%
along,52,0.0351784%
artiste,52,0.0351784%
far,52,0.0351784%
men,52,0.0351784%
think,52,0.0351784%
young,52,0.0351784%
To,51,0.0345019%
anyone,51,0.0345019%
chairman,51,0.0345019%
give,51,0.0345019%
red,51,0.0345019%
strange,51,0.0345019%
told,51,0.0345019%
His,50,0.0338254%
arm,50,0.0338254%
completely,50,0.0338254%
half,50,0.0338254%
need,50,0.0338254%
secretary,50,0.0338254%
stopped,50,0.0338254%
